Graph
Time (Seconds),Data (Meters),Data0 (Meters),Data1 (Meters),Data2 (Degrees),Data3 (Degrees),Data4 (Degrees)
7.750000,1.658699,-0.046762,0.229701,0.274712,-1.833653,-15.284358
7.800000,1.650988,-0.062267,0.229104,0.899968,-2.443527,-15.342600
7.850000,1.643767,-0.081034,0.226809,2.503651,-0.751866,-15.081327
7.900000,1.641646,-0.097221,0.224519,4.387549,1.821963,-15.210679
7.950000,1.644007,-0.108487,0.228266,5.304063,2.896764,-15.856595
8.000000,1.648338,-0.115252,0.234508,4.096006,2.343865,-16.662498
8.050000,1.651572,-0.116886,0.235021,1.367679,0.772247,-17.536182
8.100000,1.651243,-0.116938,0.231000,-1.756914,-0.799382,-18.355892
8.150001,1.646735,-0.119111,0.228398,-3.376808,-1.623176,-19.173237
8.200000,1.641781,-0.122735,0.227606,-2.541878,0.496563,-19.812243
8.250000,1.640242,-0.125698,0.224246,-1.881919,3.224996,-20.278301
8.300000,1.641233,-0.126528,0.226400,-1.281702,3.232358,-20.915388
8.350000,1.641821,-0.127955,0.229737,-1.224176,2.098488,-21.680910
8.400001,1.640427,-0.130394,0.230187,-0.688925,0.105800,-22.448654
8.450000,1.635729,-0.135796,0.229192,0.060529,-1.861938,-22.921658
8.500000,1.627207,-0.146800,0.227971,0.596216,-2.848072,-23.214483
8.550000,1.616146,-0.163951,0.226083,1.544817,-2.539234,-23.204617
8.600000,1.608415,-0.182356,0.224258,3.619781,-0.556631,-23.101746
8.650001,1.606538,-0.196277,0.225550,4.894749,0.832668,-23.421036
8.700000,1.609480,-0.204094,0.231784,4.627757,1.525410,-24.094528
8.750000,1.613549,-0.207029,0.235132,2.145350,1.005733,-24.991005
8.800000,1.615472,-0.206683,0.232983,-0.968370,-0.208622,-25.898558
8.850000,1.613091,-0.206827,0.228043,-3.534981,-1.120125,-26.767153
8.900001,1.607239,-0.209198,0.229349,-3.511227,-0.889657,-27.548031
8.950000,1.602051,-0.213106,0.227589,-2.088905,1.527130,-27.997852
9.000000,1.600664,-0.216487,0.223641,-1.353209,3.936376,-28.493477
9.050000,1.601822,-0.218078,0.225598,-0.995583,3.760759,-29.300812
9.100000,1.602220,-0.220289,0.228079,-1.096291,2.274345,-30.279325
9.150001,1.599854,-0.224000,0.229540,-0.867892,0.187551,-31.182028
9.200000,1.593377,-0.231025,0.230662,-0.346825,-1.451282,-31.708456
9.250000,1.582237,-0.243600,0.230629,0.052398,-2.109220,-31.863459
9.300000,1.570787,-0.258669,0.227991,2.186679,-1.145836,-31.724773
9.350000,1.565021,-0.272046,0.224801,4.834411,0.549263,-32.004230
9.400001,1.565175,-0.281671,0.228408,6.018682,1.220738,-32.754215
9.450000,1.568560,-0.287534,0.234984,4.727340,1.091457,-33.639095
9.500000,1.572114,-0.288495,0.235115,1.527184,0.412978,-34.556339
9.550000,1.572250,-0.287219,0.230536,-2.062686,-0.213920,-35.359840
9.600000,1.567499,-0.287271,0.229383,-3.436857,-0.538807,-36.138454
9.650001,1.562038,-0.289015,0.228319,-2.047113,1.374461,-36.745007
9.700000,1.560305,-0.291148,0.224281,-0.775379,3.820166,-37.290062
9.750000,1.561749,-0.291716,0.225975,-0.264767,3.638004,-38.080219
9.800000,1.562655,-0.292513,0.229338,-0.553334,2.524400,-38.905663
9.850000,1.561150,-0.293539,0.230220,-0.720474,0.434966,-39.601673
9.900001,1.555302,-0.297061,0.230126,-0.615018,-1.460927,-39.993362
9.950000,1.544216,-0.304983,0.228903,-0.266205,-2.555211,-40.109161
10.000000,1.530530,-0.317457,0.226015,1.588101,-2.005843,-39.783310
10.050000,1.521847,-0.330796,0.224232,4.292842,-0.280614,-39.608486
10.100000,1.519294,-0.341291,0.227980,5.539667,0.445684,-40.002235
10.150001,1.520530,-0.348761,0.233812,4.669009,0.570607,-40.705307
10.200000,1.522565,-0.352157,0.234288,1.693332,0.316765,-41.621880
10.250000,1.522283,-0.352694,0.230759,-1.815467,0.059838,-42.485729
10.300000,1.517522,-0.353286,0.228925,-3.533731,-0.099314,-43.325558
10.350000,1.510427,-0.355354,0.230465,-2.064106,0.750919,-44.091591
10.400001,1.505180,-0.358986,0.227816,-0.521851,2.673429,-44.613903
10.450000,1.503744,-0.362336,0.223943,0.087215,4.294650,-45.289528
10.500000,1.504614,-0.364773,0.225561,-0.009339,4.009984,-46.120693
10.550000,1.504192,-0.367725,0.228454,-0.452497,2.756986,-46.936615
10.600000,1.500777,-0.371012,0.229312,-0.736598,0.547692,-47.633175
10.650001,1.492237,-0.376043,0.229865,-0.763407,-1.343505,-48.000111
10.700000,1.477090,-0.384879,0.230230,-0.629987,-2.113808,-48.117073
10.750000,1.459090,-0.397094,0.226183,1.617989,-2.173663,-47.754490
10.800000,1.446043,-0.410413,0.222297,4.672984,-1.412327,-47.560719
10.850000,1.440547,-0.421614,0.226521,6.021659,-0.896275,-47.918331
10.900001,1.440293,-0.429441,0.233835,4.558689,-0.370652,-48.706245
10.950000,1.441863,-0.433118,0.235787,1.702517,-0.140001,-49.640244
11.000000,1.441785,-0.433717,0.232455,-1.406452,0.122342,-50.497257
11.050000,1.437221,-0.433728,0.228065,-3.733875,0.428223,-51.272972
11.100000,1.431332,-0.434030,0.226111,-2.279076,2.027933,-51.899765
11.150001,1.429085,-0.435520,0.223054,0.097805,4.023084,-52.506950
11.200000,1.430257,-0.436327,0.225117,0.725035,3.819071,-53.287251
11.250000,1.430969,-0.437678,0.229621,0.217073,3.222894,-54.124943
11.300000,1.429491,-0.438850,0.231437,-0.409947,1.400281,-54.834034
11.350000,1.423696,-0.440747,0.230978,-0.846634,-0.750324,-55.215866
11.400001,1.411728,-0.445161,0.229491,-0.892330,-2.137811,-55.312439
11.450000,1.394925,-0.453363,0.225930,0.734439,-2.480882,-54.960052
11.500000,1.381543,-0.464176,0.223522,3.743670,-1.823273,-54.605034
11.550000,1.375512,-0.473979,0.226562,5.511823,-1.335599,-54.842976
11.600000,1.374948,-0.482002,0.232602,5.592894,-0.852384,-55.551907
11.650001,1.376525,-0.486748,0.234676,3.124360,-0.373596,-56.598103
11.700000,1.377278,-0.487602,0.232726,-0.325843,0.216481,-57.571281
11.750000,1.373994,-0.486549,0.228881,-3.038169,0.786889,-58.369194
11.800000,1.367152,-0.485765,0.228046,-2.161987,1.738762,-59.097454
11.850000,1.361733,-0.486535,0.225876,0.269050,3.215075,-59.696461
11.900001,1.360007,-0.487848,0.223926,1.227503,4.078238,-60.436970
11.950000,1.360140,-0.489418,0.225891,0.958553,3.892325,-61.346062
12.000000,1.358887,-0.491374,0.228228,0.120571,2.597580,-62.258068
12.050000,1.354143,-0.493349,0.229789,-0.660804,0.597954,-62.947010
12.100000,1.344041,-0.496168,0.230604,-1.058869,-1.131458,-63.258766
12.150001,1.327276,-0.501193,0.230103,-1.092903,-2.031206,-63.267380
12.200000,1.307760,-0.508598,0.226077,1.095670,-2.549242,-62.845745
12.250000,1.293303,-0.518221,0.223385,4.267327,-2.214538,-62.637188
12.300000,1.286179,-0.527761,0.227755,5.666370,-2.037954,-63.006298
12.350000,1.283895,-0.535667,0.234370,4.425356,-1.396434,-63.784309
12.400001,1.284335,-0.539553,0.235066,1.498386,-0.477145,-64.702888
12.450000,1.283522,-0.539786,0.231204,-1.662407,0.668162,-65.479218
12.500000,1.278594,-0.538332,0.228268,-3.414774,1.338524,-66.222641
12.550000,1.272709,-0.537378,0.227108,-1.255404,2.324010,-66.908401
12.600000,1.270126,-0.538393,0.223674,1.197803,3.716681,-67.500198
12.650001,1.271046,-0.539582,0.224963,1.683600,3.571796,-68.223709
12.700000,1.271611,-0.541274,0.228841,1.124506,3.253972,-69.044998
12.750000,1.269755,-0.542417,0.230915,0.095069,1.808460,-69.703865
12.800000,1.263928,-0.543085,0.230917,-0.913082,-0.243128,-70.056694
12.850000,1.251824,-0.544347,0.229787,-1.394509,-1.711492,-70.157089
12.900001,1.233030,-0.547687,0.227037,-0.706175,-2.529215,-69.929832
12.950000,1.214637,-0.553865,0.224623,2.091947,-2.824263,-69.555763
13.000000,1.203281,-0.561606,0.225003,4.380803,-2.903071,-69.659866
13.050000,1.198977,-0.569308,0.231308,4.876436,-2.507559,-70.299004
13.100000,1.199284,-0.574612,0.235186,2.905814,-1.326744,-71.326385
13.150001,1.200463,-0.576269,0.233961,-0.079592,0.116626,-72.331673
13.200000,1.198580,-0.575248,0.230011,-2.452181,1.355735,-73.187660
13.250000,1.192922,-0.573035,0.230004,-1.752061,1.560193,-74.078629
13.300000,1.187463,-0.572397,0.228912,0.693259,2.264658,-74.753838
13.350000,1.184916,-0.573842,0.224514,2.199191,3.629861,-75.538078
13.400001,1.185110,-0.575871,0.225111,2.031637,3.523715,-76.396843
13.450000,1.184301,-0.577742,0.227721,0.951333,2.615599,-77.068596
13.500000,1.180491,-0.578682,0.228673,-0.413930,0.919611,-77.642082
13.550000,1.171226,-0.578867,0.229907,-1.338488,-0.643539,-77.930229
13.600000,1.155188,-0.579208,0.229672,-1.645203,-1.698046,-77.935326
13.650001,1.134197,-0.581335,0.226359,-0.158091,-2.572449,-77.501328
13.700000,1.116828,-0.587041,0.224262,2.929865,-2.945345,-77.040466
13.750000,1.106991,-0.594312,0.228164,4.518827,-3.063806,-77.123314
13.800000,1.102471,-0.601357,0.234768,3.899510,-2.321121,-77.655594
13.850000,1.101283,-0.605240,0.235112,1.340609,-0.693169,-78.464455
13.900001,1.099562,-0.605341,0.230842,-1.621568,1.222045,-79.185776
13.950000,1.094287,-0.602831,0.229132,-2.905421,1.945494,-79.975128
14.000000,1.086298,-0.600070,0.231418,-1.329888,1.490126,-80.835190
14.050000,1.078419,-0.599893,0.229394,0.901594,2.157964,-81.342262
14.100000,1.073471,-0.602037,0.224591,2.504061,3.326947,-81.975731
14.150001,1.071296,-0.604879,0.225761,2.300717,3.062507,-82.642349
14.200000,1.068301,-0.607349,0.228522,1.156308,2.238559,-83.205765
14.250000,1.062928,-0.608305,0.228999,-0.373587,0.596504,-83.739838
14.300000,1.052606,-0.607666,0.229151,-1.559606,-0.917561,-84.059761
14.350000,1.035692,-0.606240,0.228691,-2.004469,-1.847609,-84.225677
