Graph
Time (Seconds),Data (Meters),Data0 (Meters),Data1 (Meters),Data2 (Degrees),Data3 (Degrees),Data4 (Degrees)
60.799999,1.343361,0.187220,0.184155,-0.038500,0.007762,-11.588687
60.849998,1.342941,0.187069,0.183208,-0.032804,-0.008770,-11.619628
60.899998,1.342382,0.186716,0.182594,-0.025215,-0.017324,-11.614159
60.950001,1.342697,0.186635,0.182227,-0.023584,-0.011331,-11.598383
61.000000,1.342901,0.186638,0.181989,-0.021739,-0.006459,-11.605770
61.049999,1.342959,0.186618,0.181847,-0.017631,-0.004854,-11.613315
61.099998,1.342986,0.186631,0.181743,-0.015503,-0.004529,-11.616050
61.149998,1.341171,0.186697,0.224110,0.036512,-0.327667,-11.521499
61.200001,1.337056,0.185874,0.317757,0.431256,-0.872837,-10.878205
61.250000,1.333813,0.183121,0.356929,0.599267,-1.302917,-10.358326
61.299999,1.330976,0.182859,0.335898,0.945293,-1.807659,-10.052139
61.349998,1.330441,0.183884,0.271132,1.256707,-1.997016,-9.741307
61.399998,1.328138,0.183890,0.218303,1.847693,-2.584801,-9.257384
61.450001,1.330942,0.187417,0.184642,-0.121642,-0.048611,-8.887917
61.500000,1.334915,0.189422,0.183948,-0.043640,0.029089,-8.820391
61.549999,1.333733,0.188440,0.183059,-0.026097,0.009401,-8.917402
61.599998,1.332883,0.187753,0.182492,-0.012763,-0.008769,-8.977540
61.649998,1.333195,0.187817,0.182174,-0.007743,-0.001839,-8.967763
61.700001,1.333252,0.187879,0.181964,-0.006849,0.003595,-8.978473
61.750000,1.333157,0.187825,0.181819,-0.009111,0.002376,-8.987942
61.799999,1.332647,0.188633,0.224104,0.305404,0.172834,-9.035872
61.849998,1.332873,0.187329,0.318318,0.681442,-0.674804,-8.394787
61.899998,1.332521,0.184978,0.357830,0.531385,-0.983820,-7.848130
61.950001,1.330801,0.183397,0.367298,0.633040,-1.007498,-7.586179
62.000000,1.331325,0.182833,0.324435,0.839357,-1.276235,-7.440137
62.049999,1.332837,0.184022,0.230465,0.887257,-1.304201,-7.122775
62.099998,1.335741,0.185319,0.187656,0.175077,0.072466,-6.965161
62.149998,1.338748,0.187036,0.185618,0.046479,0.039582,-7.114887
62.200001,1.338263,0.187607,0.184119,0.015034,0.013039,-7.082081
62.250000,1.337849,0.187516,0.183161,0.016964,-0.005322,-6.971375
